topicNum,name
1,Fiscal and Economic Issues
2,Civil Rights and Liberties
3,Health
4,Agriculture
5,"Labor, Employment, and Immigration"
6,Education
7,Environment
8,Energy
9,Immigration
10,Transportation
11,"Law, Crime, and Family"
12,Social Welfare
13,Community Development and Housing Issues
14,"Banking, Finance, and Domestic Commerce"
15,Defense
16,"Space, Science, Technology, and Communication"
17,Foreign Trade
18,International Affairs and Foreign Aid
19,State Government Operations
20,Public Lands and Water Management
21,Local Government and Governance
