biennium,cong,StartDate_S1,EndDate_S1,StartDate_S2,EndDate_S2
1991-92,52,1991-01-04,1991-04-28,1992-01-13,1992-03-12
1993-94,53,1993-01-11,1993-04-25,1994-01-10,1994-03-10
1995-96,54,1995-01-09,1995-04-23,1996-01-08,1996-03-07
1997-98,55,1997-01-13,1997-04-27,1998-01-12,1998-03-12
1999-00,56,1999-01-11,1999-04-25,2000-01-10,2000-03-09
2001-02,57,2001-01-08,2001-04-22,2002-01-14,2002-03-14
2003-04,58,2003-01-13,2003-04-27,2004-01-12,2004-03-11
2005-06,59,2005-01-10,2005-04-24,2006-01-09,2006-03-09
2007-08,60,2007-01-08,2007-04-22,2008-01-14,2008-03-13
2009-10,61,2009-01-12,2009-04-26,2010-01-11,2010-03-11
2011-12,62,2011-01-10,2011-04-24,2012-01-09,2012-03-08
2013-14,63,2013-01-14,2013-04-28,2014-01-13,2014-03-13
2015-16,64,2015-01-12,2015-04-26,2016-01-11,2016-03-10
2017-18,65,2017-01-09,2017-04-23,2018-01-08,2018-03-08
2019-20,66,2019-01-14,2019-04-28,NA,NA
